 File Processing  
      B-Tree
==================
M = 3
Delete 66	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 22 24 25 28 30 33 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 100 
Delete 10	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 20 22 24 25 28 30 33 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 100 
Delete 22	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 20 24 25 28 30 33 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 100 
Delete 30	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 20 24 25 28 33 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 100 
Delete 44	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 20 24 25 28 33 40 41 42 43 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 100 
Delete 55	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 20 24 25 28 33 40 41 42 43 45 46 47 48 49 50 51 52 53 54 56 57 58 59 60 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 100 
Delete 50	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 20 24 25 28 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 60 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 100 
Delete 60	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 20 24 25 28 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 100 
Delete 100	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 20 24 25 28 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 
Delete 28	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 
Delete 18	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 
Delete 9	1 2 3 4 5 6 7 8 11 12 13 14 15 16 17 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 
Delete 5	1 2 3 4 6 7 8 11 12 13 14 15 16 17 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 
Delete 17	1 2 3 4 6 7 8 11 12 13 14 15 16 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 
Delete 6	1 2 3 4 7 8 11 12 13 14 15 16 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 
Delete 3	1 2 4 7 8 11 12 13 14 15 16 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 
Delete 1	2 4 7 8 11 12 13 14 15 16 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 
Delete 4	2 7 8 11 12 13 14 15 16 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 
Delete 2	7 8 11 12 13 14 15 16 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 
Delete 7	8 11 12 13 14 15 16 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 
Delete 8	11 12 13 14 15 16 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 73 75 77 80 81 82 83 84 88 89 90 99 
Delete 73	11 12 13 14 15 16 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 77 80 81 82 83 84 88 89 90 99 
Delete 12	11 13 14 15 16 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 77 80 81 82 83 84 88 89 90 99 
Delete 13	11 14 15 16 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 77 80 81 82 83 84 88 89 90 99 
Delete 14	11 15 16 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 77 80 81 82 83 84 88 89 90 99 
Delete 16	11 15 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 77 80 81 82 83 84 88 89 90 99 
Delete 15	11 20 24 25 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 77 80 81 82 83 84 88 89 90 99 
Delete 25	11 20 24 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 77 80 81 82 83 84 88 89 90 99 
Delete 24	11 20 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 77 80 81 82 83 84 88 89 90 99 
Delete 28	11 20 33 40 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 77 80 81 82 83 84 88 89 90 99 
Delete 40	11 20 33 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 77 80 81 82 83 84 88 89 90 99 
Delete 11	20 33 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 77 80 81 82 83 84 88 89 90 99 
Delete 77	20 33 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 80 81 82 83 84 88 89 90 99 
Delete 33	20 41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 80 81 82 83 84 88 89 90 99 
Delete 20	41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 80 81 82 83 84 88 89 90 99 
Delete 90	41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 80 81 82 83 84 88 89 99 
Delete 99	41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 70 75 80 81 82 83 84 88 89 
Delete 70	41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 75 80 81 82 83 84 88 89 
Delete 88	41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 75 80 81 82 83 84 89 
Delete 80	41 42 43 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 75 81 82 83 84 89 
Delete 45	41 42 43 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 75 81 82 83 84 89 
Delete 49	41 42 43 46 47 48 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 75 81 82 83 84 89 
Delete 42	41 43 46 47 48 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 75 81 82 83 84 89 
Delete 43	41 46 47 48 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 75 81 82 83 84 89 
Delete 41	46 47 48 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 75 81 82 83 84 89 
Delete 47	46 48 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 75 81 82 83 84 89 
Delete 48	46 51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 75 81 82 83 84 89 
Delete 46	51 52 53 54 56 57 58 59 61 62 63 64 65 67 68 69 75 81 82 83 84 89 
Delete 63	51 52 53 54 56 57 58 59 61 62 64 65 67 68 69 75 81 82 83 84 89 
